VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;0.108754373;4;10;0.04;0.860021435;1
SAR1;0;-0.076094128;12;10;0.12;0.777034453;1
SAR1;0;-0.021739773;17;10;0.17;0.699791889;1
SAR1;0;-0.152633565;3;10;0.03;0.876520387;1
SAR1;0;-0.161910805;18;10;0.18;0.69814567;1
SAR1;0;-0.013168392;18;10;0.18;0.68292573;1
SAR1;0;0.04204603;19;10;0.19;0.658199821;1
SAR1;0;-0.030108015;16;10;0.16;0.716135985;1
SAR1;0;-0.023149107;6;10;0.06;0.844965474;1
SAR1;0;0.028855839;12;10;0.12;0.767037863;1
SAR1;0;-0.132470284;26;10;0.26;0.561697409;1
SAR1;0;-0.048703663;44;10;0.44;0.252313153;1
SAR1;0;-0.085203302;25;10;0.25;0.574144347;1
SAR1;0;-0.23134243;4;10;0.04;0.868867161;1
SAR1;0;-0.130589909;10;10;0.1;0.805275844;1
SAR1;0;0.081169344;12;10;0.12;0.76005093;1
SAR1;0;-0.158597007;38;10;0.38;0.3530259;1
SAR1;0;-0.020537641;12;10;0.12;0.772321328;1
SAR1;0;0.086267905;8;10;0.08;0.813748654;1
SAR1;0;-0.075345157;9;10;0.09;0.814163607;1
SAR1;0;-0.167567211;27;10;0.27;0.547299898;1
SAR1;0;-0.070073157;26;10;0.26;0.554569529;1
SAR1;0;-0.021132353;38;10;0.38;0.338916506;1
SAR1;0;-0.297795659;20;10;0.2;0.675091913;1
SAR1;0;-0.083655471;18;10;0.18;0.691276049;1
SAR1;0;-0.09204966;21;10;0.21;0.643678433;1
SAR1;0;0.052671199;9;10;0.09;0.804418149;1
SAR1;0;-0.086168312;7;10;0.07;0.837012975;1
SAR1;0;0.20402905;12;10;0.12;0.73606775;1
SAR1;0;0.012582775;8;10;0.08;0.820276297;1
SAR1;0;-0.053537467;17;10;0.17;0.703567889;1
SAR1;0;0.056299744;17;10;0.17;0.688205194;1
SAR1;0;-0.08977067;21;10;0.21;0.643428668;1
SAR1;0;-0.085765228;11;10;0.11;0.790544589;1
SAR1;0;0.029612023;31;10;0.31;0.450529297;1
SAR1;0;0.210295711;8;10;0.08;0.796263423;1
SAR1;0;-0.177463216;33;10;0.33;0.440672434;1
