"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"345","SAR0_0.9",30,0.9,0.910934606194,282,0.313333333333,30,0.041195404983,0.124949129220408,0
"346","SAR1_0.9",30,0.9,0.901337852717,568,0.631111111111,30,0.0803521277425,0.0389768514667232,0
"347","SAR0_0.9",30,0.9,0.875062066067,274,0.304444444444,30,0.0447661931294,0.141109802552355,0
"348","SAR1_0.9",30,0.9,0.896763518268,526,0.584444444444,30,0.072588784538,0.0483760904012536,0
"349","SAR0_0.9",30,0.9,0.898003931926,128,0.142222222222,30,0.0431844979418,0.226306460128872,0
"350","SAR1_0.9",30,0.9,0.860242586305,206,0.228888888889,30,0.0446168904111,0.184842734074356,0
"351","SAR0_0.9",30,0.9,0.901829627656,118,0.131111111111,30,0.0438530587556,0.235708964194983,0
"352","SAR1_0.9",30,0.9,0.878210324405,264,0.293333333333,30,0.0439057278187,0.14463885902038,0
"353","SAR0_0.9",30,0.9,0.882707067027,644,0.715555555556,30,0.098495503828,0.0263751751281361,0
"354","SAR1_0.9",30,0.9,0.9131190005,856,0.951111111111,30,0.155171215957,0.00737156686159351,0
"355","SAR0_0.9",30,0.9,0.87358743484,756,0.84,30,0.12732383576,0.013783341528435,0
"356","SAR1_0.9",30,0.9,0.877530518571,480,0.533333333333,30,0.0665401358997,0.0620211020641111,0
"357","SAR0_0.9",30,0.9,0.896923805513,700,0.777777777778,30,0.11153153838,0.0190310552680351,0
"358","SAR1_0.9",30,0.9,0.876629416686,734,0.815555555556,30,0.121348556945,0.0157210545981698,0
"359","SAR0_0.9",30,0.9,0.894600496441,680,0.755555555556,30,0.106535618574,0.0213672616985504,0
"360","SAR1_0.9",30,0.9,0.919646617144,660,0.733333333333,30,0.100036794023,0.0235305540531671,0
"361","SAR0_0.9",30,0.9,0.903878362028,606,0.673333333333,30,0.0882929330308,0.0318896317462627,0
"362","SAR1_0.9",30,0.9,0.901356377214,804,0.893333333333,30,0.140027650825,0.0102146551087912,0
"363","SAR0_0.9",30,0.9,0.910320600606,424,0.471111111111,30,0.0550846429213,0.0751023155062717,0
"364","SAR1_0.9",30,0.9,0.895231061266,676,0.751111111111,30,0.105494940443,0.0218503126045685,0
"365","SAR0_0.9",30,0.9,0.902653746522,832,0.924444444444,30,0.148136856915,0.00858041212728099,0
"366","SAR1_0.9",30,0.9,0.886734251661,570,0.633333333333,30,0.0819705607186,0.0391896619386212,0
"367","SAR0_0.9",30,0.9,0.902414065291,166,0.184444444444,30,0.0400133244142,0.188455235667718,0
"368","SAR1_0.9",30,0.9,0.894537779822,678,0.753333333333,30,0.106035966152,0.0216123997759451,0
"369","SAR0_0.9",30,0.9,0.897930511958,472,0.524444444444,30,0.0632874849482,0.0623351971465567,0
"370","SAR1_0.9",30,0.9,0.887215313729,682,0.757777777778,30,0.107446850191,0.0212128858501706,0
"371","SAR0_0.9",30,0.9,0.897153759198,122,0.135555555556,30,0.0439887724337,0.234122913071843,0
"372","SAR1_0.9",30,0.9,0.891175822597,346,0.384444444444,30,0.0482475044408,0.105732758209186,0
"373","SAR0_0.9",30,0.9,0.896511903856,506,0.562222222222,30,0.0690398128615,0.0533121426802088,0
"374","SAR1_0.9",30,0.9,0.899024398986,734,0.815555555556,30,0.120470445816,0.0155937439570475,0
"375","SAR0_0.9",30,0.9,0.890592148329,888,0.986666666667,30,0.164513523177,0.00600050300581926,0
"376","SAR1_0.9",30,0.9,0.864849090671,864,0.96,30,0.157463753672,0.00700736320282683,0
"377","SAR0_0.9",30,0.9,0.869711328841,800,0.888888888889,30,0.139448378227,0.0105216241612175,0
"378","SAR1_0.9",30,0.9,0.903674982261,536,0.595555555556,30,0.0738365538656,0.0456498826043217,0
"379","SAR0_0.9",30,0.9,0.92999043531,778,0.864444444444,30,0.131880054009,0.0119001297284323,0
"380","SAR1_0.9",30,0.9,0.900140859309,292,0.324444444444,30,0.0429980750249,0.124504893851981,0
"381","SAR0_0.9",30,0.9,0.878427514171,214,0.237777777778,30,0.0424083267944,0.17055469095052,0
"382","SAR1_0.9",30,0.9,0.879753329594,584,0.648888888889,30,0.0854170037525,0.0366711088747565,0
"383","SAR0_0.9",30,0.9,0.88134683545,742,0.824444444444,30,0.123298007433,0.0149615841705059,0
"384","SAR1_0.9",30,0.9,0.90362868428,676,0.751111111111,30,0.105017855585,0.0217427576387144,0
"385","SAR0_0.9",30,0.9,0.874718357108,306,0.34,30,0.0467843627504,0.126713033285595,0
"386","SAR1_0.9",30,0.9,0.890175075419,846,0.94,30,0.152282193415,0.0078602267568659,0
"387","SAR0_0.9",30,0.9,0.918819059729,776,0.862222222222,30,0.131585042161,0.0120740555352935,0
"388","SAR1_0.9",30,0.9,0.882687806665,524,0.582222222222,30,0.0735029055674,0.0497607040712008,0
"389","SAR0_0.9",30,0.9,0.916583839048,876,0.973333333333,30,0.161148652351,0.00648911842594602,0
"390","SAR1_0.9",30,0.9,0.880831097247,472,0.524444444444,30,0.0649637335403,0.0640538185515318,0
"391","SAR0_0.9",30,0.9,0.910372711517,864,0.96,30,0.157547633615,0.0070061817015832,0
"392","SAR1_0.9",30,0.9,0.873817942315,430,0.477777777778,30,0.059619956584,0.0783162393853179,0
"393","SAR0_0.9",30,0.9,0.882351940242,328,0.364444444444,30,0.0476259619864,0.115146834909505,0
"394","SAR1_0.9",30,0.9,0.868056959869,406,0.451111111111,30,0.0571681373918,0.0877501091116326,0
"395","SAR0_0.9",30,0.9,0.914252144099,870,0.966666666667,30,0.159344864553,0.00674294817188448,0
"396","SAR1_0.9",30,0.9,0.857812596434,206,0.228888888889,30,0.0449244677556,0.186143456221896,0
"397","SAR0_0.9",30,0.9,0.899903162002,746,0.828888888889,30,0.123714458291,0.0145197148527396,0
"398","SAR1_0.9",30,0.9,0.915430788284,728,0.808888888889,30,0.118172552379,0.016051920399267,0
"399","SAR0_0.9",30,0.9,0.89998102863,744,0.826666666667,30,0.123162450623,0.0146928732403315,0
"400","SAR1_0.9",30,0.9,0.90849728893,304,0.337777777778,30,0.0429098095775,0.117153539171735,0
"401","SAR0_0.9",30,0.9,0.891565755031,86,0.0955555555556,30,0.05154447606,0.29917377397176,0
"402","SAR1_0.9",30,0.9,0.904680112966,388,0.431111111111,30,0.0511868385454,0.0876944740810639,0
"403","SAR0_0.9",30,0.9,0.900423687635,832,0.924444444444,30,0.148154512501,0.00858184273177274,0
"404","SAR1_0.9",30,0.9,0.891033488904,140,0.155555555556,30,0.0429906840491,0.218288940476318,0
"405","SAR0_0.9",30,0.9,0.899228302461,166,0.184444444444,30,0.0404106563823,0.190359299007825,0
"406","SAR1_0.9",30,0.9,0.905409748614,284,0.315555555556,30,0.041918214845,0.126005218229981,0
"407","SAR0_0.9",30,0.9,0.906203588247,742,0.824444444444,30,0.122385631103,0.0148370223549308,0
"408","SAR1_0.9",30,0.9,0.864387722179,146,0.162222222222,30,0.0461253050491,0.230723043060364,0
"409","SAR0_0.9",30,0.9,0.922923468293,820,0.911111111111,30,0.144401916354,0.00922914115653674,0
"410","SAR1_0.9",30,0.9,0.899743209008,122,0.135555555556,30,0.0436325286161,0.232191797692907,0
"411","SAR0_0.9",30,0.9,0.899366759916,880,0.977777777778,30,0.162234114257,0.00632166803601444,0
"412","SAR1_0.9",30,0.9,0.901885802907,230,0.255555555556,30,0.0399347790925,0.151068337501216,0
"413","SAR0_0.9",30,0.9,0.908306179894,608,0.675555555556,30,0.088411184136,0.0314277606385496,0
"414","SAR1_0.9",30,0.9,0.896656232615,138,0.153333333333,30,0.0424091392727,0.216439302161489,0
"415","SAR0_0.9",30,0.9,0.906295508815,336,0.373333333333,30,0.0457173526861,0.105747013777919,0
"416","SAR1_0.9",30,0.9,0.897208099516,270,0.3,30,0.0420373238683,0.134732947615752,0
"417","SAR0_0.9",30,0.9,0.89176035806,848,0.942222222222,30,0.152857128285,0.00776045386388507,0
"418","SAR1_0.9",30,0.9,0.900899516266,856,0.951111111111,30,0.15517790864,0.00737340467349253,0
