Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR1_20_0.5_160;20;160;0.5;0.52706011;0.01847287;0.13134571
SAR1_20_0.5_18;20;18;0.5;0.52706011;0.02965108;0.78977911
SAR1_20_0.5_213;20;213;0.5;0.52706011;0.0125359;0.08769732
SAR1_20_0.5_26;20;26;0.5;0.52706011;0.02947556;0.69437915
SAR1_20_0.5_267;20;267;0.5;0.52706011;0.0075815;0.03260963
SAR1_20_0.5_320;20;320;0.5;0.52706011;0.00914166;0.01387932
SAR1_20_0.5_360;20;360;0.5;0.52706011;0.00616617;0.01091597
SAR1_20_0.5_396;20;396;0.5;0.52706011;0.00204088;0.00293536
SAR1_20_0.5_4;20;4;0.5;0.52706011;0.02329904;0.96218503
SAR1_20_0.5_50;20;50;0.5;0.52706011;0.02852816;0.47247405
SAR1_20_0.5_9;20;9;0.5;0.52706011;0.02754627;0.92016844
SAR1_20_0.7_110;20;110;0.7;0.70181624;0.02378585;0.09803903
SAR1_20_0.7_160;20;160;0.7;0.70181624;0.01895658;0.04145078
SAR1_20_0.7_18;20;18;0.7;0.70181624;0.04188416;0.64617213
SAR1_20_0.7_213;20;213;0.7;0.70181624;0.0098309;0.03667421
SAR1_20_0.7_26;20;26;0.7;0.70181624;0.0375581;0.58138576
SAR1_20_0.7_267;20;267;0.7;0.70181624;0.0070122;0.03351631
SAR1_20_0.7_320;20;320;0.7;0.70181624;0.00587552;0.02218153
SAR1_20_0.7_360;20;360;0.7;0.70181624;0.00536892;0.01025396
SAR1_20_0.7_396;20;396;0.7;0.70181624;0.00144005;0.00259193
SAR1_20_0.7_4;20;4;0.7;0.70181624;0.04399712;0.91631727
SAR1_20_0.7_50;20;50;0.7;0.70181624;0.03119105;0.33350562
SAR1_20_0.7_9;20;9;0.7;0.70181624;0.03341543;0.81052751
SAR1_20_0.9_110;20;110;0.9;0.88671721;0.02506993;0.1547747
SAR1_20_0.9_160;20;160;0.9;0.88671721;0.01612522;0.14240965
SAR1_20_0.9_18;20;18;0.9;0.88671721;0.05425401;0.40559751
SAR1_20_0.9_213;20;213;0.9;0.88671721;0.00990088;0.11486039
SAR1_20_0.9_26;20;26;0.9;0.88671721;0.04005815;0.31114435
SAR1_20_0.9_267;20;267;0.9;0.88671721;0.00637665;0.09632289
SAR1_20_0.9_320;20;320;0.9;0.88671721;0.0082393;0.05652376
SAR1_20_0.9_360;20;360;0.9;0.88671721;0.00572608;0.03283324
SAR1_20_0.9_396;20;396;0.9;0.88671721;0.00139348;0.00206367
SAR1_20_0.9_4;20;4;0.9;0.88671721;0.04666267;0.83807227
SAR1_20_0.9_50;20;50;0.9;0.88671721;0.03734222;0.102135
SAR1_20_0.9_9;20;9;0.9;0.88671721;0.05218609;0.65170058
SAR1_20_0_110;20;110;0;0.12847754;0.01635658;0.34921866
SAR1_20_0_160;20;160;0;0.12847754;0.01286744;0.22029395
SAR1_20_0_18;20;18;0;0.12847754;0.02326614;0.87629799
SAR1_20_0_213;20;213;0;0.12847754;0.0086595;0.11747073
SAR1_20_0_26;20;26;0;0.12847754;0.03087541;0.81117092
SAR1_20_0_267;20;267;0;0.12847754;0.00842356;0.06687642
SAR1_20_0_320;20;320;0;0.12847754;0.00667451;0.02890125
SAR1_20_0_360;20;360;0;0.12847754;0.00466351;0.01954895
SAR1_20_0_396;20;396;0;0.12847754;0.00149901;0.00298461
SAR1_20_0_4;20;4;0;0.12847754;0.01883406;0.98233304
SAR1_20_0_50;20;50;0;0.12847754;0.02717754;0.59708355
SAR1_20_0_9;20;9;0;0.12847754;0.01702058;0.94694104
SAR1_25_-0.3_14;25;14;-0.3;-0.2944341;0.01270886;0.9739021
SAR1_25_-0.3_170;25;170;-0.3;-0.2944341;0.01219249;0.43721483
SAR1_25_-0.3_250;25;250;-0.3;-0.2944341;0.01140564;0.25049504
SAR1_25_-0.3_27;25;27;-0.3;-0.2944341;0.02491115;0.86114905
SAR1_25_-0.3_333;25;333;-0.3;-0.2944341;0.00749729;0.14350657
SAR1_25_-0.3_4;25;4;-0.3;-0.2944341;0.00703341;0.99714104
SAR1_25_-0.3_417;25;417;-0.3;-0.2944341;0.00677597;0.07594401
SAR1_25_-0.3_43;25;43;-0.3;-0.2944341;0.01573227;0.86122494
SAR1_25_-0.3_500;25;500;-0.3;-0.2944341;0.00531975;0.04908602
SAR1_25_-0.3_563;25;563;-0.3;-0.2944341;0.00326756;0.02083574
SAR1_25_-0.3_6;25;6;-0.3;-0.2944341;0.01101785;0.99117033
SAR1_25_-0.3_618;25;618;-0.3;-0.2944341;0.0010421;0.00487694
SAR1_25_-0.3_80;25;80;-0.3;-0.2944341;0.01903409;0.68923625
SAR1_25_-0.5_14;25;14;-0.5;-0.5281989;0.0113745;0.96720391
SAR1_25_-0.5_170;25;170;-0.5;-0.5281989;0.0125715;0.42616977
SAR1_25_-0.5_250;25;250;-0.5;-0.5281989;0.00879633;0.26910395
SAR1_25_-0.5_27;25;27;-0.5;-0.5281989;0.01538798;0.91589049
SAR1_25_-0.5_333;25;333;-0.5;-0.5281989;0.00903045;0.14141545
SAR1_25_-0.5_4;25;4;-0.5;-0.5281989;0.00688694;0.99765167
SAR1_25_-0.5_417;25;417;-0.5;-0.5281989;0.00769941;0.08426153
SAR1_25_-0.5_43;25;43;-0.5;-0.5281989;0.01423991;0.84126697
SAR1_25_-0.5_500;25;500;-0.5;-0.5281989;0.00420229;0.05339518
SAR1_25_-0.5_563;25;563;-0.5;-0.5281989;0.00351108;0.03221387
SAR1_25_-0.5_6;25;6;-0.5;-0.5281989;0.00684622;0.99356908
SAR1_25_-0.5_618;25;618;-0.5;-0.5281989;0.00073941;0.00630405
SAR1_25_-0.5_80;25;80;-0.5;-0.5281989;0.01242466;0.74072865
SAR1_25_-0.7_14;25;14;-0.7;-0.6727255;0.01210429;0.97745725
SAR1_25_-0.7_170;25;170;-0.7;-0.6727255;0.01359419;0.43156051
SAR1_25_-0.7_250;25;250;-0.7;-0.6727255;0.01417347;0.24847183
